id|name|parent|tie_line|address|mail_code|phone_type|phone_number
273789|www.law.columbia.edu/studentservices|273788|||||
273797|office|273795|MS* 4-2984||||212-854-2984
273798|FAX|273795|MS* 4-7081|||FAX|212-854-7081
273801|WWW.AMNH.ORG|273800|||||
273803|FAX|273802||||FAX|212-222-4256
273804|WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/|273802|||||
273809|OFFICE|273808|MS* 4-4909||2602|OFFICE|212-854-4909
273813|WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/|273812|||||
273817|FAX|273814|MC* 5-3970|||FAX|212-305-3970
273820|OFFICE|273819|MC* 5-2179|||OFFICE|212-305-2179
273822|FAX|273819|MC* 5-8980|||FAX|212-305-8980
273823|CHAIR' S FAX|273819|MC* 5-3296|||OFFICE|212-305-3296
273825|FAX|273824||||FAX|212-854-7347
273826|WWW.COLUMBIA.EDU/CU/ANTHROPOLOGY|273824|||||
273832|Department Office and Information|273831|MS* 4-4457||4701|OFFICE|212-854-4457
273838|Graduate Student/T.A. Offices|273831|MS* 4-6671||4701|OFFICE|212-854-6671
273840|Materials Science and Engineerig Program|273831|MS* 4-7860||4701|OFFICE|212-854-7860
273841|Materials Science and Engineering Labs|273831|||||
273848|Medical Physics Program|273831|MC* 6-2256||4701|OFFICE|212-305-2256
273851|NASA Cooperative Program/Goddard Institute for Space Studies|273831|||0201|OFFICE|212-678-5620
273852|Plasma Physics Laboratory|273831|||||
273858|Solid State and Optical Physics Laboratories|273831|||||
273862|Teaching Laboratories|273831|||||
273868|DIRECTOR|273867|MS* 4-4723||5517|OFFICE|212-854-4723
273869|ASSOCIATE DIRECTOR|273867|MS* 4-2150||3907|OFFICE|212-854-2150
273870|PROGRAM COORDINATOR|273867|MS* 4-1390||5518|OFFICE|212-854-1390
273874|FAX|273873||||FAX|212-866-9664
273878|FAX|273877||||FAX|212-864-0410
273882|ADVANCED ARCHITECTURAL DESIGN|273877|MS* 4-2444||0330|OFFICE|212-854-2444
273883|ALUMNI ASSOCIATION|273877|MS* 4-9543|||OFFICE|212-854-9543
273884|ARCHITECTURE PROGRAM|273877|MS* 4-2444||0330|OFFICE|212-854-2444
273885|AVERY ARCHITECTURAL AND FINE ARTS LIBRARY|273877|MS* 4-3501||0301|OFFICE|212-854-3501
273886|MATERIAL RESEARCH LABORATORY|273877|||||
273889|DEAN|273877|MS* 4-3473||0330|OFFICE|212-854-3473
273891|HISTORIC PRESERVATION PROGRAM|273877|MS* 4-3518||0366|OFFICE|212-854-3518
273892|REAL ESTATE DEVELOPMENT PROGRAM|273877|MS* 4-3524|||OFFICE|212-854-3524
273893|SLIDE LIBRARY|273877|MS* 4-5118||0330|OFFICE|212-854-5118
273894|TEMPLE HOYNE BUELL CENTER FOR THE STUDY OF AMERICAN ARCHITECTURE|273877|MS* 4-8165||0362|OFFICE|212-854-8165
273895|URBAN DESIGN PROGRAM|273877|MS* 4-1816||0330|OFFICE|212-854-1816
273896|URBAN PLANNING PROGRAM|273877|MS* 4-3513||0330|OFFICE|212-854-3513
273898|FAX|273897|MS* 4-7320|||FAX|212-854-7320
273910|FAX|273909|MS* 4-7329|||FAX|212-854-7329
273911|ADVISORY COUNCIL|273909|MS* 4-4505||5517|OFFICE|212-854-4505
273912|ART HUMANITIES PROGRAM|273909|MS* 4-4507|||OFFICE|212-854-4507
273913|CHAIR|273909|MS* 4-4505|||OFFICE|212-854-4505
273914|COLUMBIA COLLEGE REPRESENTATIVE|273909|MS* 4-4505|||OFFICE|212-854-4505
273915|CURATOR OF VISUAL RESOURCES|273909|MS* 4-3044||5517|OFFICE|212-854-3044
273917|DEPARTMENTAL ADMINISTRATOR|273909|MS* 4-4504|||OFFICE|212-854-4504
273918|BUSINESS MANAGER|273909|MS* 4-4506|||OFFICE|212-854-4506
273919|GENERAL STUDIES REPRESENTATIVE|273909|MS* 4-4505|||OFFICE|212-854-4505
273920|GRADUATE STUDIES, DIRECTOR OF|273909|MS* 4-4507|||OFFICE|212-854-4507
273921|GRADUATE COORDINATOR|273909|MS* 4-4507|||OFFICE|212-854-4507
273922|LIBRARY , AVERY ARCHITECTURAL AND FINE ARTS|273909|MS* 4-3501||0301|OFFICE|212-854-3501
273925|UNDERGRADUATE COORDINATOR|273909|MS* 4-4505|||OFFICE|212-854-4505
273926|VISUAL MEDIA CENTER|273909|MS* 4-3044|||OFFICE|212-854-3044
273929|FAX|273928|MS* 4-4676|||FAX|212-854-4676
273930|INFO@MCAH.COLUMBIA.EDU|273928|||||
273931|WWW.MCAH.COLUMBIA.EDU|273928|||||
273936|PAULA VIAL LEMPERT ART HISTORY AND MEDIA STUDIO|273928|MS* 4-8544|||OFFICE|212-854-8544
273938|STAFF ASSOCIATE FOR ARCHAEOLOGY AND HISTORIC PRESERVATION|273928|MS* 4-1937|||OFFICE|212-854-1937
273940|DIRECTOR|273928|MS* 4-8521|||OFFICE|212-854-8521
273941|ASSOCIATE DIRECTOR|273928|MS* 4-1938|||OFFICE|212-854-1938
273942|DESIGN STUDIO|273928|MS* 4-1939|||OFFICE|212-854-1939
273943|PROGRAM COORDINATOR FOR PROJECTS AND GRANTS|273928|MS* 4-4606|||OFFICE|212-854-4606
273945|TECHNOLOGY, MANAGER FOR|273928|MS* 4-8544|||OFFICE|212-854-8544
273948|CURATOR OF ART PROPERTIES|273947|MS* 4-6800|||OFFICE|212-854-6800
273949|STORAGE|273947|MS* 4-2505|||OFFICE|212-854-2505
273958|www.columbia.edu/cu/jla|273957|||||
273960|FAX|273959|MS* 4-4911|||FAX|212-854-4911
273962|FAX|273961|MS* 4-7733|||FAX|212-854-7733
273964|ALUMNI AFFAIRS|273961|MS* 4 -7873||1803|OFFICE|212-854-7873
273965|DEAN|273961|MS* 4-2876||1803|OFFICE|212-854-2876
273966|DEVELOPMENT|273961|MS* 4-7724||1803|OFFICE|212-854-7724
273967|DIGITAL MEDIA CENTER|273961|MS* 4-8923||1805|OFFICE|212-854-8923
273968|FILM DIVISION|273961|MS* 4-2815||1805|OFFICE|212-854-2815
273970|LEROY NEIMAN CENTER FOR PRINT STUDIES|273961|MS* 4-4065||1806|OFFICE|212-854-4065
273972|STUDENT AFFAIRS|273961|MS*4- 3343||1803|OFFICE|212-854-3343
273973|THEATRE ARTS DIVISION|273961|MS* 4-3408||1807|OFFICE|212-854-3408
273976|VISUAL ARTS DIVISION|273961|MS* 4-4065||1806|OFFICE|212-854-4065
273979|WRITING DIVISION|273961|MS* 4-4391||1804|OFFICE|212-854-4391
273987|FAX|273986||||FAX|212-678-8629
273991|FAX|273990|MS* 4-0500|||FAX|212-854-0500
273995|www.columbia.edu/cu/asiaweb|273994|||||
273998|FAX|273997|MS* 4-8121|||FAX|212-854-8121
273999|COLUMBIA COLLEGE|273997|MS* 4-3278||5246|OFFICE|212-854-3278
274000|GENERAL STUDIES|273997|MS* 4-3278||5246|OFFICE|212-854-3278
274001|GRADUATE SCHOOL OF ARTS AND SCIENCES|273997|MS* 4-3278||5246|OFFICE|212-854-3278
274002|LIBRARY (PHYSICS AND ASTRONOMY)|273997|MS* 4-3943||5251|OFFICE|212-854-3943
274003|READING ROOM|273997|MS* 4-3278||5246|OFFICE|212-854-3278
274004|TEACHING ASSISTANTS|273997|||5246||
274010|OFFICE|274009|MS* 4-3257|||OFFICE|212-854-3257
274012|FAX|274009|MS* 4-8121|||FAX|212-854-8121
274018|ART AND VIDEO PRODUCTION|274016|MC* 5-8362|||OFFICE|212-305-8362
274019|BUSINESS OFFICE|274016|MC* 5-8357|||OFFICE|212-305-8357
274020|COMPUTER SLIDES|274016|MC* 5- 8362|||OFFICE|212-305-8362
274021|GRAPHICS|274016|MC* 5-8362|||OFFICE|212-305-8362
274022|MEDICAL ILLUSTRATION|274016|MC* 5-8362|||OFFICE|212-305-8362
274023|PHOTOGRAPHY|274016|MC* 5-7716|||OFFICE|212-305-7716
274024|PHOTO STORE|274016|||||
274026|PROJECTION SERVICES|274016|MC* 5-8356|||OFFICE|212-305-8356
274027|VIDEO PRODUCTION|274016|MC* 5-8356|||OFFICE|212-305-8356
274029|OFFICE|274028|MS* 4-4175|||OFFICE|212-854-4175
274031|FAX|274028|MS* 4-3164|||FAX|212-854-3164
274033|MORNINGSIDE CAMPUS|274032|||7712|OFFICE|212-851-5771
274035|HEALTH SCIENCES CAMPUS|274032||||OFFICE|212-342-4758
274042|FAX|274040||||FAX|212-928-4441
274044|www.law.columbia.edu/studentservices|274043|||||
274047|www.bankstreet. edu|274046|||||
274048|BANK STREET BOOKSTORE|274046||||OFFICE|212-678-1654
274050|BANK STREET FAMILY CENTER|274046||||OFFICE|212-875-4412
274051|BANK STREET SCHOOL FOR CHILDREN ADMISSIONS|274046||||OFFICE|212-875-4433
274058|FAX|274057|HS* 5-7932|||FAX|212-305-7932
274060|PR18@COLUMBIA.EDU|274059|||||
274062|BIOLOGY@COLUMBIA.EDU|274061|||||
274063|FAX|274061||||FAX|212-865-8246
274064|BUSINESS OFFICE|274061|MS* 4-4595||2401|OFFICE|212-854-4595
274065|LIBRARY|274061|MS* 4-4715||2457|OFFICE|212-854-4715
274066|STOCKROOM|274061|MS* 4-4046||2401|OFFICE|212-854-4046
274076|FAX|274075|MS* 4-8725|||FAX|212-854-8725
274079|FAX|274077||||FAX|212-928-4441
274083|FAX|274082|MC* 5-5775|||FAX|212-305-5775
274108|OFFICE|274107|MS* 4-2981|||OFFICE|212-854-2981
274121|INFORMATION|274120|MS* 4-4909|||OFFICE|212-854-4909
274126|FAX|274125||||FAX|212-866-8713
274127|COLUMBIA UNIVERSITY MEDICAL BOOKSTORE|274125||||OFFICE|212-923-2149
274136|FAX|274135||||FAX|212-222-0193
274138|DISTRIBUTION|274137|||||
274140|PUBLICATION  (OFFICE OF UNIVERSITY PUBLICATIONS)|274137|MS* 4-2793||6601|OFFICE|212-854-2793
274145|LAMONT-DOHERTY/MORNINGSIDE EVENING SHUTTLE|274144|MS* 4-5029|||OFFICE|212-854-5029
274146|MORNINGSIDE HEIGHTS/MORNINGSIDE SHUTTLE|274144|MS* 4-7233|||OFFICE|212-854-7233
274147|MEDICAL CENTER HARLEM/MORNINGSIDE SHUTTLE|274144|MS* 4-3382|||OFFICE|212-854-3382
274157|ALUMNI RELATIONS|274148|MS* 4-8815|||OFFICE|212-854-8815
274159|BUSINESS ADMINISTRATION, EXECUTIVE EDUCATION IN|274148|MS* 4-3395||5926|OFFICE|212-854-3395
274161|CAREER SERVICES|274148|MS* 4-5471||9148|OFFICE|212-854-5471
274167|CENTER ON JAPANESE ECONOMY AND BUSINESS|274148|MS* 4-3976||5961|OFFICE|212-854-3976
274169|CHAZEN INSTITUTE|274148|MS* 4-4750||9151|OFFICE|212-854-4750
274171|COLUMBIA INSTITUTE FOR TELE-INFORMATION  (CITI)|274148|MS* 4-4222||9135|OFFICE|212-854-4222
274175|COMPUTING AND INFORMATION SERVICES|274148|MS* 4-2960|||OFFICE|212-854-2960
274176|COMPUTER HELP DESK|274148|MS* 4-3730||9147|OFFICE|212-854-3730
274179|DEAN S OFFICE|274148|MS* 4-3401||9142|OFFICE|212-854-3401
274181|DEVELOPMENT OFFICE|274148|MS* 4-3425||9136|OFFICE|212-854-3425
274183|DOCTORAL PROGRAM|274148|MS* 4-2836|||OFFICE|212-854-2836
274185|ENTREPRENEURSHIP PROGRAM|274148|MS* 4-3244||9102|OFFICE|212-854-3244
274187|EXECUTIVE EDUCATION|274148|MS* 4-3395||5926|OFFICE|212-854-3395
274189|EXECUTIVE M.B.A. PROGRAM|274148|MS* 4-2211||9161|OFFICE|212-854-2211
274191|EXECUTIVES IN RESIDENCE|274148|MS* 4-6100||9148|OFFICE|212-854-6100
274195|FINANCIAL PLANNING|274148|MS* 4-5564||9134|OFFICE|212-854-5564
274197|GRADUATE BUSINESS ASSOCIATION|274148|MS* 4-8970||9145|OFFICE|212-854-8970
274198|HERMES|274148|MS* 4-8567|||OFFICE|212-854-8567
274200|HUMAN RESOURCES|274148|MS* 4-2355||9144|OFFICE|212-854-2355
274202|INSTITUTE FOR MARKETING|274148|MS* 4-3465||5543|OFFICE|212-854-3465
274203|INSTITUTE FOR NOT-FOR-PROFIT MANAGEMENT|274148|MS* 4-6018||5926|OFFICE|212-854-6018
274205|LIBRARY, THOMAS J. WATSON|274148|MS* 4-4000||9163|OFFICE|212-854-4000
274207|OPERATIONS|274148|MS* 4-6117||9143|OFFICE|212-854-6117
274210|PROFESSIONAL DEVELOPMENT|274148|MS* 4-5471||9148|OFFICE|212-854-5471
274212|PUBLIC AFFAIRS|274148|MS* 4-2747|||OFFICE|212-854-2747
274216|PUBLICATIONS|274148|MS* 4-8567||9138|OFFICE|212-854-8567
274218|STUDENT ACADEMIC AFFAIRS|274148|MS* 4-4191||9152|OFFICE|212-854-4191
274220|STUDENT ACTIVITIES|274148|MS* 4-5563||9145|OFFICE|212-854-5563
274222|SUSTAINABLE DEVELOPMENT INITIATIVE|274148|MS* 4-3489|||OFFICE|212-854-3489
274227|www.columbia.edu/cu/cblr|274226|||||
274229|TERRACE RESTAURANT|274228||||OFFICE|212-666-9490
274230|Butler Library|276653|||1121||
274235|COLUMBIANET|274234|MS* 4-3078|||OFFICE|212-854-3078
274236|RECORD, COLUMBIA UNIVERSITY|274234|MS* 4-3283||4321|OFFICE|212-854-3283
274239|INFORMATION|274238|MS* 4-4444|||OFFICE|212-854-4444
274243|EMERGENCIES/AMBULANCE|274242|||||
274248|FAX|274247|MC* 5-7846|||FAX|212-305-7846
274253|FAX|274252|HS* 5-1741|||FAX|212-305-1741
274262|FAX|274261|MS* 4-4084|||FAX|212-854-4084
274267|INFORMATION 99 OR|274266|MS* 4-5555|||OFFICE|212-854-5555
274273|FAX|274270|MC* 5-3970|||FAX|212-305-3970
274275|FAX|274274|MC* 5-5775|||FAX|212-305-5775
274277|GENERAL INFORMATION|274276|MC* 5-2947|||OFFICE|212-305-2947
274278|DEPUTY DIRECTOR|274276|MC* 5-2944|||OFFICE|212-305-2944
274279|FAX|274276|MC* 5-0196|||FAX|212-305-0196
274293|FAX|274292|MS* 4-5640|||FAX|212-854-5640
274295|CAREER COUNSELING|274292|MS* 4-5609|||OFFICE|212-854-5609
274297|CAREER RESOURCE LIBRARY|274292|MS* 4-5609|||OFFICE|212-854-5609
274298|DEAN|274292|MS* 4-3376|||OFFICE|212-854-3376
274299|EMPLOYER RELATIONS (DIRECTOR)|274292|MS* 4-0607|||OFFICE|212-854-0607
274300|EMPLOYER RELATIONS  (JOB FAIRS)|274292|MS* 4-5494|||OFFICE|212-854-5494
274301|EXPERIENTIAL EDUCATION (DIRECTOR)|274292|MS* 4-0799|||OFFICE|212-854-0799
274304|FULL-TIME POSITIONS|274292|MS* 4-5494||5727|OFFICE|212-854-5494
274305|Graduate Student Career Development|274292|MS* 4-5609|||OFFICE|212-854-5609
274307|INTERNSHIPS|274292|MS* 4-5609|||OFFICE|212-854-5609
274308|RECRUITING PROGRAMS|274292|MS* 4-5494|||OFFICE|212-854-5494
274310|STUDENT EMPLOYMENT|274292|MS* 4-6233|||OFFICE|212-854-6233
274322|FAX|274321||||FAX|212-678-5648
274323|DIRECTOR|274321||||OFFICE|212-678-5564
274324|DEPARTMENTAL ADMINISTRATOR|274321||||OFFICE|212-678-5543
274325|SECRETARY|274321||||OFFICE|212-678-5626
274328|FAX|274327||||FAX|212-305-3213
274330|FAX|274329||||FAX|212-854-3099
274331|www.columbia.edu/cu/ccls|274329|||||
274337|FAX|274336||||FAX|212-781-6047
274348|FAX|274345|MS* 4-8188|||FAX|212-854-8188
274349|PHONE|274345|MS* 4-8179|||OFFICE|212-854-8179
274358|FAX|274357||||FAX|845-365-8922
274360|1314A  INTAFF|274359|MS* 4-1790|||OFFICE|212-854-1790
274361|fFax|274359|MS* 4-1854|||FAX|212-854-1854
274363|FAX|274362||||FAX|212-749-9524
274369|FAX|274368|MS* 1-1634|||FAX|212-851-1634
274370|jazz@ columbia.edu|274368|||||
274371|www.jazz.columbia.edu|274368|||||
274384|FAX|274383||||FAX|212-326-8577
274386|FAX|274385|MC* 5-5594|||FAX|305- 5594
274390|MAILING: 1051 RVSDD (UNIT 87)|274389||||OFFICE|212-543-5265
274391|FAX|274389||||FAX|212-543-5410
274392|CAO1@COLUMBIA.EDU|274389|||||
274393|CPMCNET.COLUMBIA.EDU/DEPT/NEUROBEH/|274389|||||
274400|FAX|274399||||FAX|212-543-5677
274404|FAX|274403|HS* 5-3869|||FAX|212-305-3869
274409|FAX|274408|MS* 4-8925|||FAX|212-854-8925
274412|FAX|274411|MS* 4-0500|||FAX|212-854-0500
274414|FAX|274413||||FAX|212-316-4578
274418|FAX|274417|MC* 5-6416|||FAX|212-305-6416
274420|FAX|274419||||FAX|212-865-8246
274421|www.columbia.edu/cu/cssr|274419|||||
274426|phone|274425|MS* 4-2556|||OFFICE|212-854-2556
274433|FAX|274432||||FAX|326- 5528
274438|FAX|274437||||FAX|646-756-8280
274440|FAX|274439|MS* 4-4019|||FAX|212-854-4019
274444|phone|274443|MS* 4-4008|||OFFICE|212-854-4008
274449|phone|274448|MS* 4-4618|||OFFICE|212-854-4618
274461|FAX|274460|MS* 4-3054|||FAX|212-854-3054
274462|CHAIRMAN|274460|MS* 4-4452||4721|OFFICE|212-854-4452
274463|ARTIFICIAL ORGANS RESEARCH LAB|274460|MS* 4-4448||4721|OFFICE|212-854-4448
274466|ELECTROCHEMISTRY LAB|274460|MS* 4-4463||4721|OFFICE|212-854-4463
274470|POLYMER SYNTHESIS LAB|274460|MS* 4-9384||4721|OFFICE|212-854-9384
274471|SOFT MATERIALS LAB|274460|MS* 4-9383||4721|OFFICE|212-854-9383
274475|FAX|274474||||FAX|212-932-1289
274476|ADMINISTRATION FOR UNDERGRADUATE AFFAIRS|274474|MS* 4-2163||3174|OFFICE|212-854-2163
274477|ALUMNI RELATIONS|274474|MS* 4-8435||3173|OFFICE|212-854-8435
274479|BUDGET OPERATIONS  DIRECTOR|274474|MS* 4-4199||3175|OFFICE|212-854-4199
274480|BUILDING MANAGER|274474|MS* 4-5902||3172|OFFICE|212-854-5902
274481|CHAIRMAN|274474|MS* 4-2204||3120|OFFICE|212-854-2204
274482|CHEMSTORES|274474|MS* 4-2792||3171|OFFICE|212-854-2792
274483|COMPUTER FACILITIES|274474|MS* 4-3183||3180|OFFICE|212-854-3183
274484|DEPARTMENT OFFICE|274474|MS* 4-2163||3178|OFFICE|212-854-2163
274488|DIRECTOR , RESEARCH AND TECHNOLOGY|274474|MS* 4- 4200||3167|OFFICE|212-854-4200
274489|GENERAL STUDIES/SUMMER SESSION|274474|MS* 4-2163||3174|OFFICE|212-854-2163
274490|GLASSBLOWER|274474|||3181|OFFICE|203-877-1107
274491|INDUSTRIAL ASSOCIATES PROGRAM|274474|MS* 4-8435||3173|OFFICE|212-854-8435
274493|LIBRARY|274474|MS* 4-4709||3177|OFFICE|212-854-4709
274494|MASS SPECTROMETER FACILITY|274474|MS* 4-2165||3183|OFFICE|212-854-2165
274495|NMR  FACILITY|274474|MS* 4-2155||3179|OFFICE|212-854-2155
274496|CHANDLER LABS  (CORRIDOR TELEPHONES)|274474|||||
274503|HAVEMEYER AND HAVEMEYER ADDITION  (LABORATORY TELEPHONES)|274474|||||
274515|FAX|274514||||FAX|212-678-8629
274524|WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/|274523|||||
274526|FAX|274525||||FAX|845-365-8922
274530|CITIBANK CUSTOMER SERVICE (24 HOURS)|274529||||OFFICE|212-627-3999
274532|FAX|274531|MS* 4-6267|||FAX|212-854-6267
274533|CARLETON LAB|274531|MS* 4-3158||4709|OFFICE|212-854-3158
274535|FLIGHT STRUCTURES, INSTITUTE OF|274531|MS* 4-2396||4709|OFFICE|212-854-2396
274536|THE DONAL M. BURMISTER SOIL MECHANICS LAB|274531|MS* 4-3153||4709|OFFICE|212-854-3153
274540|PHONE|274539|MS* 4-4909||2602|OFFICE|212-854-4909
274543|WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/|274542|||||
274548|FAX|274547|MS* 4-7856|||FAX|212-854-7856
274553|FAX|274552||||FAX|212-305-3213
274557|WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/|274556|||||
274559|WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/|274558|||||
274561|FAX|274560|MS* 4-3894|||FAX|212-854-3894
274565|Alumni Association|274562|MC* 5-3498|||OFFICE|212-305-3498
274568|BURSAR  (STUDENT INFORMATION SERVICES)|274562|MC* 5-3633|||OFFICE|212-305-3633
274569|Clinical Trials, Office of|274562|MC* 5-3360|||OFFICE|212-305-3360
274570|Columbia Innovation Enterprises|274562|MC* 5-5198|||OFFICE|212-305-5198
274572|CONTINUING EDUCATION|274562|MC* 5-3334|||OFFICE|212-305-3334
274573|DEAN OF THE FACULTY OF MEDICINE|274562|MC* 5-3592|||OFFICE|212-305-3592
274574|DEVELOPMENT, HEALTH SCIENCES|274562||||OFFICE|212-304-7200
274575|EXTERNAL RELATIONS|274562|MC* 5-7131|||OFFICE|212-305-7131
274576|FACILITIES OPERATIONS|274562|MC* 5-3753|||OFFICE|212-305-3753
274577|GRADUATE AFFAIRS|274562|MC* 5-8058|||OFFICE|212-305-8058
274578|HUMAN RESOURCES|274562|MC* 5-3819|||OFFICE|212-305-3819
274579|INFORMATION/MAIL ROOM|274562|MC* 5-3497|||OFFICE|212-305-3497
274580|MINORITY AFFAIRS|274562|MC* 5-4158|||OFFICE|212-305-4158
274581|P&S CLUB|274562|MC*  2-7025|||OFFICE|212-304-7025
274582|PUBLIC RELATIONS|274562|MC* 5-3900|||OFFICE|212-305-3900
274583|REGISTRAR  (STUDENT INFORMATION SERVICES)|274562|MC* 5-3992|||OFFICE|212-305-3992
274584|RESEARCH ADMINISTRATION|274562|MC* 5-4191|||OFFICE|212-305-4191
274585|SCHOLARLY RESOURCES|274562|MC* 5-3688|||OFFICE|212-305-3688
274586|SECURITY|274562|MC* 5-8100|||OFFICE|212-305-8100
274587|Student Affairs|274562|MC* 5-3806|||OFFICE|212-305-3806
274595|PHONE|274594|MS* 4-3257|||OFFICE|212-854-3257
274597|FAX|274594|MS*4-8121|||FAX|212-854-8121
274600|FAX|274599|MS*4-2358|||FAX|212-854-2358
274601|www.columbia.edu/cu/cblr|274599|||||
274603|FAX|274602|MS* 4-1909|||FAX|212-854-1909
274604|CENTER FOR MATERIALS SCIENCE AND ENGINEERING RESEARCH|274602|MS* 4-3964||8903|OFFICE|212-854-3964
274606|CENTER FOR NANOSCALE SCIENCE AND ENGINEERING|274602|MS* 4-3266||8903|OFFICE|212-854-3266
274608|INSTITUTE FOR ENVIRONMENTAL MOLECULAR SCIENCES|274602|MS* 4-3264||8903|OFFICE|212-854-3264
274610|MICROELECTRONICS SCIENCE LAB|274602|MS* 4-3265||8903|OFFICE|212-854-3265
274617|ADMINISTRATIVE OFFICES|274612|||||
274622|EXECUTIVE DIRECTOR|274612|MS* 4-1692|||OFFICE|212-854-1692
274623|BUSINESS MANAGER|274612|MS* 4-0211|||OFFICE|212-854-0211
274625|WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/|274624|||||
274628|WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/|274627|||||
274632|ALUMNI AFFAIRS AND DEVELOPMENT, OFFICE OF|274629|MS* 7800||4520|OFFICE|212-851-7800
274634|BUDGET OPERATIONS|274629|MS* 4- 9094||2808|OFFICE|212-854-9094
274636|CAREER EDUCATION|274629|MS* 4-5609||5727|OFFICE|212-854-5609
274639|CLASS CENTERS|274629|||||
